,value,geometry,lon,lat
209,28.0,POINT (645914.6609420596 5594366.630687511),645914.661,5594366.631
210,35.0,POINT (658873.6022422622 5594468.783571488),658873.602,5594468.784
211,13.0,POINT (657227.5909126417 5594273.746137642),657227.591,5594273.746
212,30.0,POINT (657802.2243331518 5594287.65413361),657802.224,5594287.654
213,35.0,POINT (656659.0218459539 5594270.800398252),656659.022,5594270.8
214,39.0,POINT (656760.7422893642 5594247.005352141),656760.742,5594247.005
215,35.0,POINT (660609.1704698984 5594264.05799932),660609.17,5594264.058
216,37.0,POINT (654536.3311560624 5594346.462512573),654536.331,5594346.463
217,29.0,POINT (657596.391384842 5594257.186434517),657596.391,5594257.186
218,40.0,POINT (646577.0404179086 5594183.748391871),646577.04,5594183.748
219,37.0,POINT (659016.4222632913 5594122.486691981),659016.422,5594122.487
220,24.0,POINT (654878.8152768853 5594113.798052112),654878.815,5594113.798
221,31.0,POINT (658564.2207570408 5594154.066944035),658564.221,5594154.067
222,31.0,POINT (657006.7256555334 5594403.404287941),657006.726,5594403.404
223,37.0,POINT (655247.1291762276 5594021.569930138),655247.129,5594021.57
224,22.0,POINT (657510.8372103695 5594079.167477479),657510.837,5594079.167
225,39.0,POINT (642294.4814609291 5594028.061676186),642294.481,5594028.062
226,35.0,POINT (656319.6081946994 5593991.026327456),656319.608,5593991.026
227,38.0,POINT (655462.3763823494 5593925.792594519),655462.376,5593925.793
228,38.0,POINT (656082.3113102147 5593913.954438542),656082.311,5593913.954
229,38.0,POINT (654294.9247331143 5593894.999332082),654294.925,5593894.999
230,35.0,POINT (657872.0888616081 5593918.244775086),657872.089,5593918.245
231,39.0,POINT (649913.3301343392 5593894.687282794),649913.33,5593894.687
232,39.0,POINT (642279.1039241115 5593787.561458148),642279.104,5593787.561
233,39.0,POINT (646693.9096470812 5593881.19808239),646693.91,5593881.198
234,37.0,POINT (656571.5019212298 5593826.451914052),656571.502,5593826.452
235,37.0,POINT (648596.6869783095 5593815.063976165),648596.687,5593815.064
236,37.0,POINT (660110.800783835 5593765.759710879),660110.801,5593765.76
237,40.0,POINT (657171.5648858706 5593738.128546122),657171.565,5593738.129
238,28.0,POINT (646529.266753125 5593645.014129987),646529.267,5593645.014
239,37.0,POINT (648591.1402727847 5593633.094043895),648591.14,5593633.094
240,30.0,POINT (637985.2893660211 5593564.592715197),637985.289,5593564.593
241,39.0,POINT (638966.1303410719 5593563.884016927),638966.13,5593563.884
242,39.0,POINT (652144.2698638047 5593609.227442644),652144.27,5593609.227
243,39.0,POINT (654508.7592701369 5593569.914195535),654508.759,5593569.914
244,39.0,POINT (652311.1449671584 5593530.993571957),652311.145,5593530.994
245,37.0,POINT (655976.0364520496 5593652.036340198),655976.036,5593652.036
246,37.0,POINT (656026.304056428 5593646.053765583),656026.304,5593646.054
247,37.0,POINT (656141.0643743257 5593529.654798217),656141.064,5593529.655
248,39.0,POINT (646391.524157343 5593486.774775789),646391.524,5593486.775
249,37.0,POINT (656857.9129749334 5593573.274043629),656857.913,5593573.274
250,31.0,POINT (659946.6118240831 5593508.704275829),659946.612,5593508.704
251,39.0,POINT (638824.9728160881 5593488.726662355),638824.973,5593488.727
252,38.0,POINT (642761.0399796745 5593574.562355912),642761.04,5593574.562
253,39.0,POINT (642796.0055339637 5593327.0443929),642796.006,5593327.044
254,38.0,POINT (647085.2904928024 5593399.379867252),647085.29,5593399.38
255,37.0,POINT (654784.6295113973 5593461.295803477),654784.63,5593461.296
256,38.0,POINT (648173.8120086817 5593443.473673095),648173.812,5593443.474
257,21.0,POINT (656426.519190301 5593296.786927479),656426.519,5593296.787
258,39.0,POINT (659699.4275261534 5593425.414316664),659699.428,5593425.414
259,35.0,POINT (648308.5720258059 5593439.567856466),648308.572,5593439.568
260,37.0,POINT (658400.752609688 5593377.951360667),658400.753,5593377.951
261,35.0,POINT (657789.6870611281 5593386.45706782),657789.687,5593386.457
262,31.0,POINT (656684.5833286615 5593292.654345248),656684.583,5593292.654
